CO,C6H6,NMHC,Nox,NO2,O3,T,RH,AH
2,9.6,962,107,120,879,31.7,21.6,0.9959
1.9,8.7,927,88,106,836,29.7,24.2,0.9926
2.3,11.6,1035,100,112,1062,27.9,27.6,1.0252
2.4,11.8,1043,125,120,1188,26.8,29.9,1.0402
2.2,10.5,995,132,114,1236,25.8,33,1.0826
1.2,5.5,790,57,70,853,26.3,33.1,1.1199
1.1,5.5,790,46,64,875,24.3,38.1,1.1398
0.6,3.4,674,33,50,679,21.1,45.6,1.1246
0.7,4.1,716,50,62,877,20.2,48.5,1.1319
0.4,4.1,718,39,53,826,21.3,45.5,1.1405
0.6,4.7,750,84,85,881,22.6,31,0.8372
0.9,7.1,862,93,102,1110,25.7,34.8,1.1292
0.9,7.4,872,82,97,927,31.6,23.8,1.0842
0.8,7.3,868,73,91,665,36.3,16.3,0.9727
0.4,4.2,723,43,62,474,37.9,15,0.9728
0.3,4.1,716,39,57,459,39.4,13.7,0.9639
0.1,3.8,698,27,40,437,40.2,12.3,0.8983
0.5,5.8,802,46,60,607,41.3,11.9,0.9252
0.4,5.6,792,53,70,620,41.4,11.8,0.9282
0.4,5.3,780,39,54,532,37.6,16.4,1.0458
0.6,6.1,814,49,58,578,33.9,20.3,1.0522
0.8,7.4,873,68,73,721,31.6,22.9,1.0469
1.2,9,938,102,99,912,29.7,24.8,1.016
1.6,11.7,1040,123,102,1155,29,27,1.063
0.5,6,814,66,77,1018,28,30.6,1.1396
0.3,4.3,730,43,55,842,26.8,32.3,1.1235
0.1,2.8,642,33,51,740,26.6,33,1.1338
0.1,2.9,649,33,50,739,22.2,42.8,1.1317
0.3,4.1,717,75,75,970,21.2,46.3,1.1501
3.4,25.6,1443,313,142,1811,25.2,38.6,1.2215
2.5,17.7,1230,263,145,1696,27.1,34.9,1.231
2.4,16.2,1187,282,165,1603,32.4,24.8,1.1886
2.1,15.1,1153,226,159,1370,36.8,18,1.0945
4.1,17,1210,124,140,1153,39.6,18.8,1.3413
3.8,21.5,1339,165,163,1492,36.1,25.5,1.4949
3.4,18.6,1256,164,144,1382,33.3,29.9,1.5079
2.9,15.3,1158,122,120,1303,31.2,33.2,1.4831
3.1,17,1211,134,120,1404,30.1,35.8,1.5034
3.5,14.4,1129,121,106,1308,28.9,39.1,1.537
2.4,13.6,1103,112,95,1320,27.8,43.3,1.5929
1.3,6.4,832,50,67,1160,26.4,47.1,1.5947
1,5.4,781,72,70,1181,23.8,55.4,1.6073
0.8,4.1,715,48,50,1010,24.9,50.6,1.5755
1.1,6.3,826,58,60,1075,25,49.2,1.5418
3.3,19.9,1294,266,190,1834,34,29.9,1.5614
2.1,12.6,1070,159,127,1268,37.3,22.9,1.4373
2.1,14,1118,144,130,1422,40.1,19,1.3849
2,12.2,1055,117,125,1028,42,15.8,1.2759
2.1,14.3,1126,153,143,1150,44.3,13,1.183
2.8,18.6,1258,179,170,1315,43.4,14.8,1.2882
3.6,22,1352,225,187,1469,40.6,18.2,1.368
4,23,1377,261,181,1515,37.1,21.3,1.3223
3.7,21.1,1327,228,158,1510,34.5,25.5,1.368
2.5,15,1148,137,112,1327,32.2,30.4,1.4433
2.5,14.6,1135,143,105,1436,29.4,38.7,1.5581
2.7,16.3,1189,157,107,1608,28.6,38.7,1.4921
1.3,8.8,933,72,72,1257,27.7,40.5,1.4835
0.8,5.8,802,74,70,1139,23.6,51.5,1.4852
1,8.2,906,75,59,1158,25.1,46.5,1.4615
2.9,20.1,1299,199,95,1602,24.5,48.3,1.4593
3.8,25.5,1441,262,120,1770,26.6,42.8,1.4675
3.5,21.6,1340,236,133,1651,29,37.6,1.4866
2.4,15.5,1166,186,133,1435,34.2,28.5,1.5071
1.8,11.2,1021,132,120,1159,37.3,22.9,1.4369
2.1,15.4,1160,140,132,1193,40.1,17.5,1.2721
2.1,14.6,1137,143,135,1094,42.2,14.6,1.192
1.5,12.5,1066,99,121,912,41.9,15.2,1.2173
1.5,12.3,1059,107,123,908,43.1,13.8,1.1803
1.8,13.2,1091,130,129,1010,42.8,13.8,1.1681
2.1,14.7,1140,133,129,1020,41.1,16.5,1.2701
3,19.9,1295,188,156,1280,38.7,20.3,1.3743
2.8,19.1,1271,155,131,1287,35.8,24.1,1.3924
2.5,14.8,1144,154,115,1216,33.1,28.3,1.4121
1.4,8.6,922,95,79,990,30.1,33.9,1.4257
1.7,11,1014,110,86,1146,29,36.6,1.4431
2.4,15.2,1156,153,99,1346,27.8,39.9,1.4682
1.9,12.1,1052,111,83,1353,27,42.8,1.503
1.4,9.9,973,79,74,1231,26.4,44.5,1.5119
0.7,6.3,825,47,64,1126,25.1,48.5,1.5266
0.8,5.5,789,61,61,995,24.6,52.2,1.5881
0.7,5.8,803,56,62,1003,24.4,50.5,1.5243
1,8.1,902,69,65,1055,25.2,49.1,1.5546
1.7,10,979,109,79,1156,26.6,50.8,1.7419
1.9,9.9,976,111,90,1179,28,46.9,1.748
2.3,13.1,1088,150,116,1306,32.7,34.5,1.6798
1.7,9.2,946,87,89,934,36.6,26.5,1.599
1.3,6.7,843,64,68,689,37.8,26.3,1.6951
1.2,6.5,833,47,53,626,38.3,27.1,1.797
0.9,3.8,699,37,38,495,37.3,28.8,1.8087
1.1,5.2,775,49,53,562,36.6,28.2,1.697
1.3,6,812,70,82,660,32.3,33.4,1.59
1.4,5.6,791,76,88,664,29.9,37.9,1.5745
1.2,4.4,735,59,70,567,28.2,41.9,1.5776
0.9,3.7,697,44,53,506,27.2,45.9,1.6316
1.1,5,762,47,57,560,27.3,45.7,1.6308
0.9,3.7,692,45,52,653,23.8,63.5,1.8495
0.7,3.6,687,44,52,642,24.7,56.9,1.739
0.3,1.3,527,10,17,427,22.5,69.1,1.8578
0.4,1.7,561,19,28,470,23.4,64.4,1.835
0.4,1.5,544,20,29,447,24.4,57.9,1.7476
0.5,1.6,551,30,37,463,24.5,56.9,1.7225
0.5,1.7,557,24,31,454,24.9,54.8,1.7063
0.7,2.7,632,35,46,500,27,47.4,1.6661
0.9,3.6,687,48,66,528,27.6,43.7,1.5877
0.8,3,652,41,54,490,28.2,42.6,1.6062
0.8,2.9,646,37,50,488,29.1,40.8,1.6203
0.7,2.5,619,32,44,475,29.8,38.6,1.5911
0.8,3.1,655,43,52,486,31.5,34.5,1.5666
0.7,2.3,606,28,37,438,31.2,36.3,1.6217
0.8,3,654,38,51,477,30,41.3,1.7259
1.2,4,713,72,78,626,27.6,47.5,1.7266
1.6,6.3,826,89,90,747,28.8,41.3,1.6164
1.5,7.3,868,77,86,775,27.7,43.4,1.5833
1.5,6.8,850,84,88,803,27.3,44.1,1.5751
1.5,6.3,826,82,91,777,26.9,45.5,1.5926
1.5,5.9,809,81,93,770,26.6,47.2,1.616
1.2,4.8,755,50,68,663,26,48,1.5882
0.8,2.9,649,30,48,529,26.2,45.7,1.5324
0.8,4.7,748,40,49,742,23.7,54.6,1.5823
1.2,7.3,871,72,71,942,22.6,58.8,1.5903
1,6.4,829,68,71,926,24,53.4,1.5748
1.5,9.2,947,89,86,1039,25.2,51,1.6131
2.8,12.5,1067,151,125,1158,27.3,47.1,1.6807
3.3,15.9,1175,196,174,1262,36,28,1.6304
2.9,14.6,1135,161,146,1073,38.5,23.8,1.5944
2.2,11.7,1039,120,127,817,39.8,20.5,1.4687
1.6,7.4,873,88,114,606,38.1,22,1.4402
0.9,6.1,816,38,65,506,40,20,1.4517
1.1,6.9,852,47,77,559,40.4,19.8,1.4724
1.6,10.2,987,71,104,774,34,30.9,1.6158
1.8,10.7,1004,90,114,899,31.8,34.5,1.5911
2.2,13,1082,95,105,1066,30.1,37.7,1.5799
1.8,11.4,1027,85,85,1040,28.6,42.3,1.6251
2.3,13.3,1095,119,92,1139,27.7,44.6,1.6304
2,11.2,1020,106,82,1086,26.6,47.5,1.6265
0.6,4,713,21,26,723,23.5,63.6,1.8223
0.4,2.6,625,17,21,646,24.3,59.4,1.7838
0.4,2.6,627,24,30,670,23.3,62,1.7547
0.8,4.2,722,39,35,687,25,60.7,1.892
0.7,4.5,737,32,39,621,35.4,31.3,1.7736
0.6,4.3,730,30,34,560,37.4,28.2,1.7808
0.5,3.5,685,24,33,451,39.2,20.2,1.4104
0.6,3.5,683,34,42,393,38.1,18.5,1.2141
0.7,3.9,707,63,85,417,40.2,17.7,1.2989
0.9,4.7,748,69,92,451,39.7,19.1,1.3646
0.9,5.3,776,61,84,461,38.5,19.8,1.326
1.9,9.1,945,65,68,799,27.3,57.1,2.0426
1.2,5,762,74,97,553,26.7,60.1,2.067
0.7,3.7,696,45,51,465,26.2,61.6,2.0575
0.2,1.6,553,2,5,396,25.5,61.8,1.9831
0.4,2.7,630,29,35,468,25.1,62.4,1.9602
0.8,5.6,791,42,56,638,24.6,62.7,1.9158
1.9,13,1085,146,110,1097,25.7,58.9,1.9156
1.9,11.5,1031,163,124,1067,28.4,50.7,1.9329
1.9,11.1,1017,144,115,964,32.7,36.9,1.7953
1.7,10.7,1004,90,107,839,35.6,29.2,1.6684
1.4,8.5,921,76,99,692,37.1,25.6,1.5868
1.2,8.7,928,73,95,629,36.1,26.4,1.5505
1.4,9.4,956,73,105,666,37.9,23.8,1.5392
1.4,9.5,959,80,117,684,38,22.2,1.4483
1.9,12.9,1082,121,157,816,36.9,22.7,1.3887
2.2,13.7,1107,129,173,876,35.5,25.7,1.4626
1.9,12.2,1057,103,139,836,32.8,32.2,1.5779
1.7,11.8,1042,87,116,846,30.5,38.2,1.6376
1.2,9.9,974,58,91,795,28.8,43.5,1.6989
0.3,10.7,1005,64,98,836,28,46.2,1.721
0.1,9.4,956,58,93,818,27.1,49.4,1.7398
0.7,4.4,734,65,57,947,21.4,75.5,1.9069
1.2,7.7,889,94,56,1081,21.9,74.9,1.9396
2.3,13.6,1102,205,72,1257,22,75.9,1.9817
3,19.1,1270,240,84,1404,22.5,74.9,2.019
2.6,14.2,1122,245,107,1428,25.6,61.2,1.9808
2.6,15.6,1168,206,117,1451,29.3,48.4,1.9367
2.6,14.4,1129,156,120,1346,33.5,36,1.8395
2.1,10.5,995,126,110,1093,35.6,29.8,1.7045
1.7,10.2,985,108,104,940,33.7,33.4,1.7186
1.9,10.7,1003,102,110,909,34.1,33.3,1.7509
2.5,11.6,1035,110,111,1005,31.5,43.5,1.9797
1.1,7.9,894,57,64,756,32.5,40.6,1.9481
2.6,14.6,1137,151,114,1220,27.7,49.9,1.8189
1.7,9.8,971,103,94,1057,25.5,58,1.8611
1.5,8.8,930,76,77,1009,25.1,59.9,1.8797
1.8,10.4,991,93,74,1088,24.1,63.5,1.8828
1.2,6.4,831,57,57,975,23.4,64.9,1.843
0.7,3.4,674,32,45,793,24.4,58.6,1.7714
0.7,2.9,645,42,49,802,21.9,67.1,1.7414
0.5,2.3,604,37,45,754,23.6,61.2,1.7588
0.6,3.3,670,44,44,774,22.6,63.4,1.7136
0.9,5.1,771,51,43,860,22.9,62.6,1.7253
2,10.5,996,115,84,1113,25.4,56.2,1.7961
1.9,10.9,1012,109,96,1063,30.6,41.9,1.8104
1.7,8.4,914,80,88,858,33.5,34,1.73
1.2,6,811,57,67,642,35.5,29.8,1.7004
1,4.7,750,43,54,484,35.1,25.2,1.402
1,5.3,776,43,56,498,38.1,21.1,1.3863
1.2,6.5,833,46,67,565,36.8,29.5,1.8037
1.6,8.4,915,71,95,672,34.9,33.4,1.8384
1.6,8.3,912,65,86,689,32.2,37.4,1.7655
1.6,8.4,917,78,93,714,29.7,41.7,1.7081
1.9,10.3,988,84,95,829,27.3,49.4,1.7602
1.9,10.9,1011,89,93,875,26.3,51.3,1.7251
1.5,7.4,872,65,69,803,25.7,54.1,1.7546
0.8,4.5,736,32,39,638,24.9,57.3,1.7822
0.6,2.4,609,22,33,615,23.9,61.2,1.7871
0.6,2.4,616,21,29,596,23.8,61.3,1.7881
0.6,2.8,638,31,38,655,24.3,58.4,1.7508
1.2,5.2,774,62,64,758,27.3,51.3,1.835
1,4.2,724,43,49,598,29.5,45.9,1.8662
1.3,4.8,751,53,64,643,27.6,52.4,1.9055
1.4,4.6,744,87,79,778,25.4,68,2.1806
0.8,3.6,689,36,45,522,32.2,40.3,1.8999
0.7,3,655,27,35,444,33,37.3,1.8481
0.8,3.6,690,29,37,474,35.1,32.1,1.7841
0.9,4.1,715,38,46,495,35,31.1,1.7173
1.5,6.5,836,66,79,616,31.1,38.8,1.7295
1.5,7.3,868,63,79,690,29,46.1,1.8141
1.7,8.1,905,88,98,846,28.1,50.6,1.8969
1.9,10.4,992,87,93,1013,27.1,54.7,1.9284
1.7,9,940,86,89,978,26.6,56.4,1.9349
1.1,6.3,824,40,51,862,25.5,61.6,1.9804
0.8,4.4,733,27,39,755,24.9,63.5,1.9647
0.7,3.7,694,58,46,853,23.2,68,1.9045
1.2,7.4,872,87,55,990,23.2,67.5,1.899
2.3,15.1,1151,143,63,1206,24.3,63.3,1.8929
2.5,15.1,1152,96,42,1274,25.5,59.7,1.9193
2.4,14.7,1138,16,5,1336,27.7,52.5,1.9138
1.4,9.8,970,54,39,1068,31.8,38.9,1.8005
1.6,8.3,912,72,71,826,34.3,31.5,1.6745
1.4,7.7,889,54,65,745,34.2,31.5,1.6675
1.6,9.7,965,59,74,1100,28.8,45.9,1.7884
1.5,9.1,944,69,76,1086,28.2,51.1,1.9221
1.4,9.1,945,58,66,1060,27.5,54.4,1.9705
1,7,859,33,49,996,27.4,55,1.9827
0.7,4.9,758,17,29,856,28.1,51.6,1.9269
0.5,3.5,680,6,11,722,26.3,56.5,1.9027
0.5,3.2,665,20,25,772,24.4,63.6,1.9218
0.7,4.7,747,58,34,910,23.5,67.4,1.9305
1.2,7.6,883,106,42,1051,23.4,65.7,1.872
2.6,14.8,1144,188,81,1433,28.5,48.5,1.8607
2.2,12.7,1074,128,95,1206,36.5,28.9,1.7359
1.5,9.2,949,88,86,831,39,23.7,1.6346
0.9,4.8,752,51,64,544,38.8,23.7,1.6093
1,5.4,783,52,62,525,38,24,1.5686
1.1,7.2,864,59,75,644,40.5,23.3,1.7416
1.2,6.7,845,67,88,702,39.8,25.4,1.8213
1.8,9.7,965,105,126,844,39.6,23.3,1.6535
1.8,10.9,1012,91,96,905,38.8,24.7,1.6772
1.7,10.6,999,69,79,878,34.7,35.9,1.9528
1.7,9.7,967,65,67,927,32.3,43.6,2.07
1.6,8.6,924,58,62,910,30.7,48.1,2.0821
1.7,10.2,984,67,64,1024,29.5,50.6,2.0492
1.5,8.8,930,65,60,1027,28.2,55,2.0697
0.8,5.3,778,29,36,910,26.7,60.7,2.0977
0.5,3.2,662,16,24,760,26.4,61.6,2.0931
0.7,3.5,685,50,32,834,25.9,63.6,2.102
1.1,7.2,866,78,42,1075,26.1,63.7,2.117
1.7,11.1,1019,97,51,1178,27.9,56.5,2.0895
1.7,8.3,913,89,68,972,35.1,38.1,2.1144
1.3,6,813,63,56,764,36.2,34.9,2.0578
1,5.1,769,48,46,615,36.6,30.8,1.8617
1.4,6.6,839,80,65,700,38.7,25.8,1.7426
1.6,8,901,78,69,734,37.4,29.9,1.8848
1.7,10.1,982,84,69,823,33.8,34.5,1.7788
1.4,7.8,890,72,57,801,31.4,40.7,1.8377
1.4,7.7,887,59,54,820,29.4,50,2.0181
1.6,7.9,895,58,46,882,27.3,57.8,2.0646
1.2,6.3,825,68,65,801,26.7,60.6,2.0942
0.9,3.8,701,57,62,690,25.9,64.5,2.1247
1.7,11,1013,87,60,1034,26.4,61.7,2.0929
1.9,9.5,957,122,71,1034,29.4,53.1,2.1362
1.5,6.9,855,101,61,929,33.4,39.9,2.0177
1.6,7.2,867,92,65,880,33.2,39.2,1.9642
1.3,5.5,788,70,54,701,34.5,35.1,1.8856
1,5.6,792,44,60,544,37.3,28,1.7537
1.1,5.7,800,52,69,581,38.1,26.3,1.7252
1.3,7,855,53,67,610,37.1,27.2,1.6844
1.5,8.1,904,65,79,695,35.2,31.2,1.7485
1.6,8.7,929,67,86,709,32.1,38.7,1.819
1.5,7.9,896,67,79,736,30.3,45.1,1.9129
1.3,7.5,878,53,67,722,29.3,50.2,2.0127
1.6,8.5,920,60,67,772,27.8,57.4,2.1107
1.1,5.6,794,39,48,654,27.2,59.3,2.1059
0.7,2.6,626,22,33,516,26.7,61,2.1005
0.5,1.7,558,7,11,452,25.4,63.1,2.0184
0.5,2,586,25,34,492,26.1,60.3,2.012
0.8,4,709,47,52,588,25.2,67.1,2.1164
1.6,8.6,924,101,80,909,26,61.9,2.0511
1.6,10.1,981,100,86,1007,27,57.5,2.0183
1.4,8.7,929,79,77,809,30.5,44.4,1.9076
1.5,7.9,896,91,93,820,33.4,35.1,1.781
1.2,5.8,801,83,109,657,35.7,29,1.6716
1.1,5.3,779,65,89,551,35.8,27.7,1.6041
0.8,4.2,724,55,71,511,36.3,27.4,1.6264
0.7,3.3,673,40,56,451,33.6,28.8,1.4695
0.7,4,709,48,68,462,35.2,20.5,1.1418
0.7,4.3,726,46,61,440,35,22.4,1.2371
1,4.6,745,54,70,472,34,25.2,1.314
1.2,5.9,805,60,78,524,29.4,34.4,1.3899
1.1,5.7,796,62,80,560,28.1,41.1,1.535
1.2,5.1,767,57,74,577,26.6,50.4,1.724
1.4,5.9,806,72,90,674,25.9,52.9,1.7478
1.3,5.6,795,63,78,676,25.4,54.6,1.7483
1,4.5,737,49,63,611,25.1,55.7,1.7471
0.6,2.5,618,30,42,529,25.1,55.3,1.733
0.4,1.8,569,18,27,497,25.2,55,1.7405
0.4,1.9,578,22,29,513,25.6,53.5,1.7291
0.5,2.6,626,39,41,563,24.7,55.9,1.7114
1.1,6.3,826,68,61,822,24,57.2,1.6835
0.9,4.7,749,54,58,742,28,43.4,1.6162
0.9,4.7,748,51,52,629,31.6,35.5,1.6269
0.8,4.3,726,44,51,534,35.3,27.6,1.5512
0.7,3.4,676,37,49,463,34.8,24.5,1.3373
0.7,3.6,685,33,44,462,38.2,19.6,1.2915
0.7,3.6,686,36,48,501,38.9,20.3,1.382
0.7,3.6,687,33,46,493,36.9,27.1,1.6683
1.2,6.6,838,56,73,668,32,38.2,1.788
1.4,7.3,868,71,85,771,29.8,41.8,1.7269
1.2,6.1,818,57,72,732,28.2,45.9,1.7272
1,5.2,774,43,53,687,27.1,48.2,1.7075
0.9,4.9,758,40,47,664,26.7,49.5,1.7048
0.7,3.5,684,26,37,588,26.1,50.8,1.6917
0.5,3,650,24,34,610,25.7,52.5,1.7077
0.5,2.7,631,24,33,593,24.8,55.4,1.7054
0.4,2.4,612,18,27,614,22.5,61.8,1.6654
0.4,2,584,19,27,566,22.7,59.2,1.6139
0.5,2.5,623,22,28,594,23,58.4,1.6223
1,5.3,778,46,56,700,32.1,34,1.6039
1.1,4.8,753,31,36,579,38.3,19.8,1.3067
0.6,3.2,664,11,17,478,37.3,20.5,1.286
0.4,2.6,624,8,14,410,36.3,18.4,1.0976
0.5,3,652,21,36,440,37.9,15.9,1.0296
0.6,3.1,658,26,43,461,36.7,17.1,1.0398
0.8,3.4,679,37,60,526,33.8,21.9,1.1303
1,4.6,743,53,81,647,32.6,24.6,1.1885
1.1,4.4,731,56,87,693,30.6,28.4,1.2247
1.6,8.2,906,79,91,1002,28.4,34.4,1.314
0.9,5,766,38,55,797,28.3,34.1,1.2951
0.7,4,711,25,42,685,27.8,35.2,1.2968
0.7,3.7,693,24,43,710,25.3,39.7,1.2656
0.5,3.1,657,11,20,629,24.5,41.5,1.2589
0.3,1.5,543,16,23,462,23.3,41.9,1.1856
0.4,2.4,616,43,43,530,21.5,45.6,1.1558
0.9,5.4,783,86,68,838,21.3,47,1.1793
1.3,8.5,920,92,62,946,22.2,45,1.1867
1.6,10.9,1010,102,65,1014,23.6,40.8,1.1746
2.1,12,1048,171,93,1135,27.1,32.4,1.1462
2,10.6,999,148,110,1027,33.4,20.1,1.0142
1.4,7.4,874,119,106,749,35.3,17,0.9546
1.4,7.3,869,71,77,632,37.4,14.7,0.9295
0.9,4.6,741,53,60,479,38.6,14.6,0.9821
1.3,6.9,853,72,69,606,38.8,15.8,1.0706
1.3,7,857,67,77,631,35.2,22.3,1.2467
1.6,8.5,919,81,87,871,30.4,30.9,1.3219
1.4,8,898,79,88,879,29.5,32.1,1.3005
1.3,5.7,798,73,84,780,28,34.9,1.2989
1,5.1,767,57,65,728,28.2,36.6,1.3722
0.9,5.5,787,45,54,821,26.5,40.7,1.3873
0.6,3.1,658,25,37,663,28.3,36.7,1.3878
0.5,2.9,645,23,36,656,25.7,43.8,1.4233
0.4,2.2,597,18,29,603,24.3,48.3,1.4449
0.4,2.5,618,23,25,560,23.6,49.2,1.4153
1,5.6,791,59,41,789,22.2,53.9,1.4201
2.2,12.9,1079,135,68,1145,22.5,52.3,1.41
2.5,16,1181,167,82,1302,24.3,47.8,1.4321
2.3,12.2,1058,190,137,1297,27.3,40.7,1.4548
2,10,979,142,119,1192,33.3,28.2,1.4189
1.4,7.4,875,83,71,711,36.4,27.1,1.6226
1.7,9.1,942,94,78,801,36.8,26.2,1.5984
1.7,9.2,947,90,74,813,33.3,32.8,1.6527
1.6,8.5,921,91,70,851,31.3,39.5,1.7798
1.4,7.9,896,70,55,823,29.9,44.7,1.8511
1.4,6.1,816,75,54,778,29.1,48.4,1.9186
0.9,4.4,730,48,38,726,27.7,52.6,1.9202
0.6,2.3,608,41,30,597,28.3,49.5,1.8782
0.5,1.9,578,11,16,463,27.7,52.5,1.923
0.5,2.4,611,11,12,526,27.5,53,1.9097
0.8,4.7,747,37,38,712,27.1,54.4,1.9168
1.4,7.8,889,72,56,918,27.6,52.1,1.8936
1.2,7.8,891,53,57,894,29,48.5,1.9133
1.2,6.5,834,47,47,737,32.5,39.4,1.8982
1.1,6.1,816,33,35,680,36.9,30.9,1.8934
1.2,6.3,824,35,44,670,36.2,30.6,1.8105
1.1,5.6,793,32,43,654,37.7,27.7,1.778
1,5.8,803,23,34,618,37.1,27.2,1.6874
1,5.4,784,27,36,652,39.5,24.3,1.7216
1.2,6.8,849,32,44,732,39.9,23.8,1.7127
1.7,9.3,953,51,63,853,39.6,24.3,1.7255
1.7,8.5,919,46,60,821,37.2,29.1,1.8185
1.7,7.4,875,65,68,927,31.6,43.6,1.9944
1.3,5.9,808,57,64,632,34.4,23.5,1.2541
1,4.7,748,39,50,532,34.3,22.5,1.1974
1.1,5.2,775,45,55,512,37.3,15.4,0.9692
1.5,7.5,878,60,70,615,36.8,16.2,0.9922
1.4,6.5,837,62,80,871,27,30.7,1.079
1.2,6.8,846,41,60,787,26.6,30.6,1.0459
1.1,5.7,797,32,49,841,26,33.1,1.0955
1.1,5.8,801,44,53,862,24.1,37.9,1.1204
1.2,5.7,799,29,50,881,22.2,43.1,1.1396
0.7,3.2,663,18,34,709,22.8,41.3,1.1284
0.4,1.7,563,12,21,492,21.7,42.6,1.0907
1.1,5.7,798,83,71,824,20.1,47.8,1.1093
1.6,10,977,149,94,1014,20.6,45.5,1.0925
2.3,14.5,1133,216,118,1208,22.4,41.1,1.0979
1.6,9.9,973,153,105,1178,25,36.6,1.143
2,11.2,1021,177,122,1176,29.9,26.2,1.0891
1.6,8.3,911,126,121,891,32.9,21.8,1.0714
1.6,9.5,959,96,115,731,35,17.9,0.99
1.3,7.1,862,92,107,626,34.6,18.2,0.9832
1,6,811,75,86,553,33.8,22.8,1.1781
1.6,9.1,943,109,118,770,36.3,19.5,1.1539
2,10.4,994,133,129,938,38.3,17.9,1.181
1.7,8.7,927,87,90,716,36.9,20.9,1.2864
1.7,9,938,80,87,714,33.9,30,1.56
1.4,6.8,850,70,65,702,29.8,43.4,1.7988
1.3,5.2,773,67,61,687,27.5,50.4,1.8274
1.6,6.9,852,97,85,867,28.1,48,1.7933
1.8,7.8,893,90,83,927,26.9,49.6,1.7299
1.3,6.3,825,71,71,848,24.9,50.6,1.5747
1.1,4.7,749,59,62,777,23.7,53.2,1.5418
0.7,4.4,730,47,50,774,23.3,55.5,1.5636
1.1,6.4,829,108,78,982,23.6,54.2,1.5583
1.9,11.9,1047,160,89,1175,24.9,52.9,1.643
3.5,21,1325,204,106,1390,26.4,50.8,1.7166
2.9,15.6,1168,193,107,1352,28.1,47.4,1.7753
2.2,12.1,1053,146,93,1152,30.2,43.2,1.823
2,9.3,951,126,95,1022,31.2,41.9,1.871
1.7,8.7,927,90,78,922,33.9,36,1.8692
1.6,7.9,894,84,76,825,33.9,34.1,1.7754
1.3,6,814,57,61,602,36.3,28.3,1.6851
1.3,5.8,802,51,54,564,32.5,34.1,1.6453
1.4,6.3,824,49,53,581,29.1,42.1,1.6695
1.4,6,811,59,69,604,27.8,35.6,1.3116
1.3,6.3,824,66,77,590,27,30,1.0542
1.4,6.8,849,72,83,650,26.3,37.3,1.2555
1.5,7,855,89,94,745,25.2,40.8,1.2877
0.9,5,763,38,55,656,23.3,45.3,1.2794
0.6,2.8,637,24,35,520,24.1,44,1.3034
0.5,2.8,640,40,45,595,23.7,46.7,1.3501
0.4,1.7,559,25,33,584,22.5,48.6,1.3077
0.5,3.4,676,38,39,676,19.5,57,1.2739
0.7,4.3,726,38,43,685,19.6,56.1,1.2651
1.2,7.1,861,75,62,894,20.7,53.3,1.287
1.7,8.3,913,104,81,977,24.7,41.8,1.2839
1.8,9.1,945,134,102,1034,29.9,30.5,1.2616
1.5,7.7,887,85,86,737,32.3,27.2,1.2933
1.1,5.8,805,49,64,581,33.4,22.5,1.1398
1.9,11,1016,209,101,832,33.8,25.8,1.3338
1.4,7.6,882,132,71,635,34.5,28.6,1.5393
2,10.1,981,166,82,733,32.7,33,1.5987
2.7,14.1,1119,243,104,912,31.4,35.4,1.5972
2,10.3,988,165,87,899,26.2,47.8,1.5979
2.1,11.5,1032,187,98,984,25.7,48.7,1.5825
2,10.9,1009,206,105,955,25.2,50.1,1.58
1.9,9.5,960,189,96,899,23.7,55.4,1.6031
1.3,7,858,136,79,780,22.8,58.5,1.5992
0.7,3.3,673,83,61,636,22.8,58.5,1.5985
0.5,2.8,639,72,48,596,20.8,64.9,1.571
0.6,4.3,728,121,63,887,19.7,66.8,1.5184
1.3,8.5,921,268,92,1115,19.8,64.3,1.4678
3.6,20.9,1320,451,99,1374,20.6,62.3,1.4915
4.9,35.2,1669,458,117,1644,23.2,54,1.5143
3.9,18.7,1261,487,142,1375,26.3,43.1,1.4542
2.2,13.3,1094,224,108,966,32.4,26.3,1.2594
2,11.3,1024,162,80,814,31.3,29.1,1.3054
1.7,10.4,992,189,93,727,31.1,28.6,1.2718
2,12.3,1060,213,108,806,33.3,24.4,1.232
2.1,12.3,1060,245,118,852,35.5,21.2,1.2022
3.2,19.4,1280,341,149,1093,34.6,22,1.189
4,21.5,1339,382,171,1211,33.3,23.6,1.1842
4.4,25.7,1446,358,154,1346,30,28.5,1.1896
2.2,11.4,1029,252,126,1192,27.2,37.4,1.3279
1.7,9.5,958,201,121,1074,26.6,39.9,1.3657
1.9,11.6,1037,225,125,1161,25.3,41.7,1.3247
2,11.4,1029,242,126,1210,24.3,44.7,1.3432
1.5,7.5,880,167,96,1050,24.4,45.6,1.3779
0.8,5.3,776,99,73,873,23.1,49.9,1.3891
0.6,4,709,87,65,835,21.8,54.1,1.4004
0.7,4.6,745,164,90,901,21,56.9,1.3999
0.8,5.8,803,87,58,853,21.8,55.5,1.4323
5.2,30,1552,417,67,1738,22.8,54.2,1.4886
3.3,18.7,1261,406,96,1603,26.2,45,1.5098
1.3,7.7,888,169,64,1040,23.1,47,1.3122
2.5,13.9,1113,231,72,1324,23.7,46.2,1.3376
3.4,22,1350,232,73,1486,25.8,41.9,1.3688
2.1,10.2,983,145,64,1079,27.3,38.3,1.3669
2.2,10.4,993,170,74,1081,31,29.1,1.2885
1.7,8,898,214,89,806,31.6,25.5,1.1638
